Módulo (Nivel),Dia de la semana,Tema Principal (Gramática / Estructura),Enfoque Práctico (Para los Tracks de Cotorreo),Columna 1,Columna 2,Columna 3,Columna 4,Estado,Propietario,Fecha de inicio,Fecha de finalización,Warm Up,Core Phase: Input,Core Phase: Output
Advanced — A1 Foundation,Vie,Sem 2 — Second Conditional,Second Conditional (If I were…),ALL Irregular Verbs (async: A–F / G–L / M–R / S–Z),Nouns Pack 2 — Truth & Lies,AP2 (Adj Pack 2),Evaluación micro-ciclo Sem 1+2,Sin comenzar,,,,uno,lingomatch,talktime
Advanced — A1 Foundation,Sat,Sem 2 — Second Conditional,Second Conditional (If I were…),ALL Irregular Verbs (async: A–F / G–L / M–R / S–Z),Nouns Pack 2 — Truth & Lies,AP2 (Adj Pack 2),Evaluación micro-ciclo Sem 1+2,Sin comenzar,,,,uno,lingomatch,talktime
Advanced — A1 Foundation,Lun,Sem 3 — Past Continuous,Past Continuous (was/were + -ing),Phrasal Verbs from readings (extraídos del NP3),Nouns Pack 3 — Media & Entertainment,AP3 (Adj Pack 3),,Sin comenzar,,,,lingomatch,reading,talktime
Advanced — A1 Foundation,Mar,Sem 3 — Past Continuous,Past Continuous (was/were + -ing),Phrasal Verbs from readings (extraídos del NP3),Nouns Pack 3 — Media & Entertainment,AP3 (Adj Pack 3),,Sin comenzar,,,,lingomatch,reading,talktime
Advanced — A1 Foundation,Mie,Sem 3 — Past Continuous,Past Continuous (was/were + -ing),Phrasal Verbs from readings (extraídos del NP3),Nouns Pack 3 — Media & Entertainment,AP3 (Adj Pack 3),,Sin comenzar,,,,lingomatch,reading,talktime
Advanced — A1 Foundation,Jue,Sem 3 — Past Continuous,Past Continuous (was/were + -ing),Phrasal Verbs from readings (extraídos del NP3),Nouns Pack 3 — Media & Entertainment,AP3 (Adj Pack 3),,Sin comenzar,,,,lingomatch,reading,talktime
Advanced — A1 Foundation,Vie,Sem 3 — Past Continuous,Past Continuous (was/were + -ing),Phrasal Verbs from readings (extraídos del NP3),Nouns Pack 3 — Media & Entertainment,AP3 (Adj Pack 3),,Sin comenzar,,,,lingomatch,reading,talktime
Advanced — A1 Foundation,Sat,Sem 3 — Past Continuous,Past Continuous (was/were + -ing),Phrasal Verbs from readings (extraídos del NP3),Nouns Pack 3 — Media & Entertainment,AP3 (Adj Pack 3),,Sin comenzar,,,,lingomatch,reading,talktime
Advanced — A1 Foundation,Lun,Sem 4 — Past Future Intention,Past Future Intention (Was going to),Phrasal Verbs from readings (extraídos del NP4),Nouns Pack 4 — Regrets & Turning Points,AP4 (Adj Pack 4),,Sin comenzar,,,,presentations,reading,talktime
Advanced — A1 Foundation,Mar,Sem 4 — Past Future Intention,Past Future Intention (Was going to),Phrasal Verbs from readings (extraídos del NP4),Nouns Pack 4 — Regrets & Turning Points,AP4 (Adj Pack 4),,Sin comenzar,,,,presentations,reading,talktime
Advanced — A1 Foundation,Mie,Sem 4 — Past Future Intention,Past Future Intention (Was going to),Phrasal Verbs from readings (extraídos del NP4),Nouns Pack 4 — Regrets & Turning Points,AP4 (Adj Pack 4),,Sin comenzar,,,,presentations,reading,talktime
Advanced — A1 Foundation,Jue,Sem 4 — Past Future Intention,Past Future Intention (Was going to),Phrasal Verbs from readings (extraídos del NP4),Nouns Pack 4 — Regrets & Turning Points,AP4 (Adj Pack 4),,Sin comenzar,,,,presentations,reading,talktime
Advanced — A1 Foundation,Vie,Sem 4 — Past Future Intention,Past Future Intention (Was going to),Phrasal Verbs from readings (extraídos del NP4),Nouns Pack 4 — Regrets & Turning Points,AP4 (Adj Pack 4),,Sin comenzar,,,,presentations,reading,talktime
Advanced — A1 Foundation,Sat,Sem 4 — Past Future Intention,Past Future Intention (Was going to),Phrasal Verbs from readings (extraídos del NP4),Nouns Pack 4 — Regrets & Turning Points,AP4 (Adj Pack 4),,Sin comenzar,,,,presentations,reading,talktime
Advanced — A2 Structures,Lun,Sem 1 — Used to / Use to,Used to / Use to (Hábitos pasados vs presente),Phrasal Verbs from readings (extraídos del NP5),Nouns Pack 5 — Attraction & Identity,AP5 (Adj Pack 5),,Sin comenzar,,,,connect4,reading,talktime
Advanced — A2 Structures,Mar,Sem 1 — Used to / Use to,Used to / Use to (Hábitos pasados vs presente),Phrasal Verbs from readings (extraídos del NP5),Nouns Pack 5 — Attraction & Identity,AP5 (Adj Pack 5),,Sin comenzar,,,,connect4,reading,talktime
Advanced — A2 Structures,Mie,Sem 1 — Used to / Use to,Used to / Use to (Hábitos pasados vs presente),Phrasal Verbs from readings (extraídos del NP5),Nouns Pack 5 — Attraction & Identity,AP5 (Adj Pack 5),,Sin comenzar,,,,connect4,reading,talktime
Advanced — A2 Structures,Jue,Sem 1 — Used to / Use to,Used to / Use to (Hábitos pasados vs presente),Phrasal Verbs from readings (extraídos del NP5),Nouns Pack 5 — Attraction & Identity,AP5 (Adj Pack 5),,Sin comenzar,,,,connect4,reading,talktime
Advanced — A2 Structures,Vie,Sem 1 — Used to / Use to,Used to / Use to (Hábitos pasados vs presente),Phrasal Verbs from readings (extraídos del NP5),Nouns Pack 5 — Attraction & Identity,AP5 (Adj Pack 5),,Sin comenzar,,,,connect4,reading,talktime
Advanced — A2 Structures,Sat,Sem 1 — Used to / Use to,Used to / Use to (Hábitos pasados vs presente),Phrasal Verbs from readings (extraídos del NP5),Nouns Pack 5 — Attraction & Identity,AP5 (Adj Pack 5),,Sin comenzar,,,,connect4,reading,talktime
Advanced — A2 Structures,Lun,Sem 2 — Comparatives & Superlatives,"Comparatives & Superlatives (Short, long, irregular)",Phrasal Verbs from readings (extraídos del NP6),Nouns Pack 6 — Ambition & Competition,AP6 (Adj Pack 6),,Sin comenzar,,,,periplo-party,elespectro,talktime
Advanced — A2 Structures,Mar,Sem 2 — Comparatives & Superlatives,"Comparatives & Superlatives (Short, long, irregular)",Phrasal Verbs from readings (extraídos del NP6),Nouns Pack 6 — Ambition & Competition,AP6 (Adj Pack 6),,Sin comenzar,,,,periplo-party,elespectro,talktime
Advanced — A2 Structures,Mie,Sem 2 — Comparatives & Superlatives,"Comparatives & Superlatives (Short, long, irregular)",Phrasal Verbs from readings (extraídos del NP6),Nouns Pack 6 — Ambition & Competition,AP6 (Adj Pack 6),,Sin comenzar,,,,periplo-party,elespectro,talktime
Advanced — A2 Structures,Jue,Sem 2 — Comparatives & Superlatives,"Comparatives & Superlatives (Short, long, irregular)",Phrasal Verbs from readings (extraídos del NP6),Nouns Pack 6 — Ambition & Competition,AP6 (Adj Pack 6),,Sin comenzar,,,,periplo-party,elespectro,talktime
Advanced — A2 Structures,Vie,Sem 2 — Comparatives & Superlatives,"Comparatives & Superlatives (Short, long, irregular)",Phrasal Verbs from readings (extraídos del NP6),Nouns Pack 6 — Ambition & Competition,AP6 (Adj Pack 6),,Sin comenzar,,,,periplo-party,elespectro,talktime
Advanced — A2 Structures,Sat,Sem 2 — Comparatives & Superlatives,"Comparatives & Superlatives (Short, long, irregular)",Phrasal Verbs from readings (extraídos del NP6),Nouns Pack 6 — Ambition & Competition,AP6 (Adj Pack 6),,Sin comenzar,,,,periplo-party,elespectro,talktime
Advanced — A2 Structures,Lun,Sem 3 — Relative Clauses,"Relative Clauses (Who, which, that, where)",Phrasal Verbs from readings (extraídos del NP7),Nouns Pack 7 — Mystery & Crime,AP7 (Adj Pack 7),Modals of Possibility PRESENTE únicamente (might/could/may/must — sin have+participio) | Relative Clauses defining/non-defining,Sin comenzar,,,,weakestlink,reading,connect4
Advanced — A2 Structures,Mar,Sem 3 — Relative Clauses,"Relative Clauses (Who, which, that, where)",Phrasal Verbs from readings (extraídos del NP7),Nouns Pack 7 — Mystery & Crime,AP7 (Adj Pack 7),Modals of Possibility PRESENTE únicamente (might/could/may/must — sin have+participio) | Relative Clauses defining/non-defining,Sin comenzar,,,,anagram,lingomatch,smallworld
Advanced — A2 Structures,Mie,Sem 3 — Relative Clauses,"Relative Clauses (Who, which, that, where)",Phrasal Verbs from readings (extraídos del NP7),Nouns Pack 7 — Mystery & Crime,AP7 (Adj Pack 7),Modals of Possibility PRESENTE únicamente (might/could/may/must — sin have+participio) | Relative Clauses defining/non-defining,Sin comenzar,,,,flashcards,reading,periplo-party
Advanced — A2 Structures,Jue,Sem 3 — Relative Clauses,"Relative Clauses (Who, which, that, where)",Phrasal Verbs from readings (extraídos del NP7),Nouns Pack 7 — Mystery & Crime,AP7 (Adj Pack 7),Modals of Possibility PRESENTE únicamente (might/could/may/must — sin have+participio) | Relative Clauses defining/non-defining,Sin comenzar,,,,emojispell,listening,talktime
Advanced — A2 Structures,Vie,Sem 3 — Relative Clauses,"Relative Clauses (Who, which, that, where)",Phrasal Verbs from readings (extraídos del NP7),Nouns Pack 7 — Mystery & Crime,AP7 (Adj Pack 7),Modals of Possibility PRESENTE únicamente (might/could/may/must — sin have+participio) | Relative Clauses defining/non-defining,Sin comenzar,,,,wordcascade,smallworld,talktime
Advanced — A2 Structures,Sat,Sem 3 — Relative Clauses,"Relative Clauses (Who, which, that, where)",Phrasal Verbs from readings (extraídos del NP7),Nouns Pack 7 — Mystery & Crime,AP7 (Adj Pack 7),Modals of Possibility PRESENTE únicamente (might/could/may/must — sin have+participio) | Relative Clauses defining/non-defining,Sin comenzar,,,,afterwords,quememesoy,mock trial
Advanced — A2 Structures,Lun,Sem 4 — Present Perfect Continuous,Present Perfect Continuous (have/has been + V-ing) — introducción al auxiliar 'have' y al único participio: 'been',Phrasal Verbs from readings (extraídos del NP8),Nouns Pack 8 — Systems & Society,AP8 (Adj Pack 8),have/has been + V-ing | Solo participio: been | Contraste Present Continuous vs PPC | Bridge hacia Present/Past Perfect en P1,Sin comenzar,,,,afterwords,timeline alive (oral),reading
Advanced — A2 Structures,Mar,Sem 4 — Present Perfect Continuous,Present Perfect Continuous (have/has been + V-ing) — introducción al auxiliar 'have' y al único participio: 'been',Phrasal Verbs from readings (extraídos del NP8),Nouns Pack 8 — Systems & Society,AP8 (Adj Pack 8),have/has been + V-ing | Solo participio: been | Contraste Present Continuous vs PPC | Bridge hacia Present/Past Perfect en P1,Sin comenzar,,,,wordcascade,alibi game (oral),talktime
Advanced — A2 Structures,Mie,Sem 4 — Present Perfect Continuous,Present Perfect Continuous (have/has been + V-ing) — introducción al auxiliar 'have' y al único participio: 'been',Phrasal Verbs from readings (extraídos del NP8),Nouns Pack 8 — Systems & Society,AP8 (Adj Pack 8),have/has been + V-ing | Solo participio: been | Contraste Present Continuous vs PPC | Bridge hacia Present/Past Perfect en P1,Sin comenzar,,,,lingomatch,reading,lingomatch
Advanced — A2 Structures,Jue,Sem 4 — Present Perfect Continuous,Present Perfect Continuous (have/has been + V-ing) — introducción al auxiliar 'have' y al único participio: 'been',Phrasal Verbs from readings (extraídos del NP8),Nouns Pack 8 — Systems & Society,AP8 (Adj Pack 8),have/has been + V-ing | Solo participio: been | Contraste Present Continuous vs PPC | Bridge hacia Present/Past Perfect en P1,Sin comenzar,,,,anagram,listening,applestoapples
Advanced — A2 Structures,Vie,Sem 4 — Present Perfect Continuous,Present Perfect Continuous (have/has been + V-ing) — introducción al auxiliar 'have' y al único participio: 'been',Phrasal Verbs from readings (extraídos del NP8),Nouns Pack 8 — Systems & Society,AP8 (Adj Pack 8),have/has been + V-ing | Solo participio: been | Contraste Present Continuous vs PPC | Bridge hacia Present/Past Perfect en P1,Sin comenzar,,,,memorama,timeline alive (oral),neverever
Advanced — A2 Structures,Sat,Sem 4 — Present Perfect Continuous,Present Perfect Continuous (have/has been + V-ing) — introducción al auxiliar 'have' y al único participio: 'been',Phrasal Verbs from readings (extraídos del NP8),Nouns Pack 8 — Systems & Society,AP8 (Adj Pack 8),have/has been + V-ing | Solo participio: been | Contraste Present Continuous vs PPC | Bridge hacia Present/Past Perfect en P1,Sin comenzar,,,,wordbuildings,alibi game (oral),conoceme
Advanced — A Mix (Consolidación),Lun,Sem 1 — Pressure & Performance,SIN GRAMÁTICA NUEVA — Retrieval A1+A2 | Idioms: Pressure & Performance,Retrieval NP1–NP4,Retrieval NP5–NP8,Idioms: Pressure & Performance,Review: Past tenses · Used To · Comparatives · Relative Clauses · Modals (presente) · PPC,Sin comenzar,,,,emojispell,reading,talktime
Advanced — A Mix (Consolidación),Mar,Sem 1 — Pressure & Performance,SIN GRAMÁTICA NUEVA — Retrieval A1+A2 | Idioms: Pressure & Performance,Retrieval NP1–NP4,Retrieval NP5–NP8,Idioms: Pressure & Performance,Review: Past tenses · Used To · Comparatives · Relative Clauses · Modals (presente) · PPC,Sin comenzar,,,,anagram,lingomatch,elespectro
Advanced — A Mix (Consolidación),Mie,Sem 1 — Pressure & Performance,SIN GRAMÁTICA NUEVA — Retrieval A1+A2 | Idioms: Pressure & Performance,Retrieval NP1–NP4,Retrieval NP5–NP8,Idioms: Pressure & Performance,Review: Past tenses · Used To · Comparatives · Relative Clauses · Modals (presente) · PPC,Sin comenzar,,,,wordcascade,reading,talktime
Advanced — A Mix (Consolidación),Jue,Sem 1 — Pressure & Performance,SIN GRAMÁTICA NUEVA — Retrieval A1+A2 | Idioms: Pressure & Performance,Retrieval NP1–NP4,Retrieval NP5–NP8,Idioms: Pressure & Performance,Review: Past tenses · Used To · Comparatives · Relative Clauses · Modals (presente) · PPC,Sin comenzar,,,,memorama,listening,talktime
Advanced — A Mix (Consolidación),Vie,Sem 1 — Pressure & Performance,SIN GRAMÁTICA NUEVA — Retrieval A1+A2 | Idioms: Pressure & Performance,Retrieval NP1–NP4,Retrieval NP5–NP8,Idioms: Pressure & Performance,Review: Past tenses · Used To · Comparatives · Relative Clauses · Modals (presente) · PPC,Sin comenzar,,,,lastword⚠️,smallworld⚠️,talktime
Advanced — A Mix (Consolidación),Sat,Sem 1 — Pressure & Performance,SIN GRAMÁTICA NUEVA — Retrieval A1+A2 | Idioms: Pressure & Performance,Retrieval NP1–NP4,Retrieval NP5–NP8,Idioms: Pressure & Performance,Review: Past tenses · Used To · Comparativas · Relative Clauses · Modals (presente) · PPC,Sin comenzar,,,,small talk,periplo-party,talktime
Advanced — A Mix (Consolidación),Lun,Sem 2 — Success & Momentum,SIN GRAMÁTICA NUEVA — Retrieval A1+A2 | Idioms: Success & Momentum,Retrieval VP1–VP9,Retrieval AP1–AP8,Idioms: Success & Momentum,Listening nivel A | Escenarios hipotéticos con Second Conditional,Sin comenzar,,,,anagram,reading,talktime
Advanced — A Mix (Consolidación),Mar,,,,,,,,,,,,,
Advanced — A Mix (Consolidación),Mie,,,,,,,,,,,,,
Advanced — A Mix (Consolidación),Jue,,,,,,,,,,,,,
Advanced — A Mix (Consolidación),Vie,,,,,,,,,,,,,
Advanced — A Mix (Consolidación),Sat,,,,,,,,,,,,,
Advanced — A Mix (Consolidación),Lun,Sem 3 — Relationships & Conflict,SIN GRAMÁTICA NUEVA — Retrieval A1+A2 | Idioms: Relationships & Conflict,Retrieval NP1–NP8 completo,Retrieval AP1–AP8 completo,Idioms: Relationships & Conflict,Lecturas: eventos · relaciones · dilemas | Integración A1+A2 completa,Sin comenzar,,,,emojispell,reading,talktime
Advanced — A Mix (Consolidación),Mar,,,,,,,,,,,,,
Advanced — A Mix (Consolidación),Mie,,,,,,,,,,,,,
Advanced — A Mix (Consolidación),Jue,,,,,,,,,,,,,
Advanced — A Mix (Consolidación),Vie,,,,,,,,,,,,,
Advanced — A Mix (Consolidación),Sat,,,,,,,,,,,,,
Advanced — A Mix (Consolidación),Lun,Sem 4 — Risk & Decision + EVALUACIÓN MACRO,Test: grammar A1+A2 completo | Idioms: Risk & Decision,Test: Phrasal Verbs from readings A1+A2,Test: NP1–NP8 Advanced,,Apruebas → P1 | No → repites A Mix,,,,,,,
Advanced — A Mix (Consolidación),Mar,,,,,,,,,,,,,
Advanced — A Mix (Consolidación),Mie,,,,,,,,,,,,,
Advanced — A Mix (Consolidación),Jue,,,,,,,,,,,,,
Advanced — A Mix (Consolidación),Vie,,,,,,,,,,,,,
Advanced — A Mix (Consolidación),Sat,,,,,,,,,,,,,
Pro — P1 Structures,Lun,Sem 1 — Present Perfect + Past Perfect,Present Perfect (have + participio) · Past Perfect (had + participio) — For/Since · Already/Yet · By the time,Phrasal Verbs Pro — Nivel 1,Nouns Pack 1 Pro — Law & Politics,AP Pro 1,Have + participio (completo) | Had + participio | For · Since · Already · Yet · By the time | Evaluación micro-ciclo Sem 1+2,Sin comenzar,,,,,,
Pro — P1 Structures,Mar,,,,,,,,,,,,,
Pro — P1 Structures,Mie,,,,,,,,,,,,,
Pro — P1 Structures,Jue,,,,,,,,,,,,,
Pro — P1 Structures,Vie,,,,,,,,,,,,,
Pro — P1 Structures,Sat,,,,,,,,,,,,,
Pro — P1 Structures,Lun,Sem 2 — Third Conditional + Mixed Conditionals,Third Conditional (If I had… would have) + Mixed (pasado → presente hipotético),Idiomatic Expressions Pro,Nouns Pack 2 Pro — Finance & Economy,AP Pro 2,If I had + participio · would have + participio | Mixed: If I had done X I would be Y now | Evaluación micro-ciclo Sem 1+2,Sin comenzar,,,,,,
Pro — P1 Structures,Mar,,,,,,,,,,,,,
Pro — P1 Structures,Mie,,,,,,,,,,,,,
Pro — P1 Structures,Jue,,,,,,,,,,,,,
Pro — P1 Structures,Vie,,,,,,,,,,,,,
Pro — P1 Structures,Sat,,,,,,,,,,,,,
Pro — P1 Structures,Lun,Sem 3 — Passive Voice,Passive Voice (Present Passive · Past Passive · Modal Passive) — be + participio,Advanced Collocations,Nouns Pack 3 Pro — Science & Discovery,AP Pro 3,be + participio | Present/Past/Modal Passive | It is said that... | Reporting Passives básicos,Sin comenzar,,,,,,
Pro — P1 Structures,Mar,,,,,,,,,,,,,
Pro — P1 Structures,Mie,,,,,,,,,,,,,
Pro — P1 Structures,Jue,,,,,,,,,,,,,
Pro — P1 Structures,Vie,,,,,,,,,,,,,
Pro — P1 Structures,Sat,,,,,,,,,,,,,
Pro — P1 Structures,Lun,Sem 4 — Past Conditionals,Past Conditionals avanzado — Should have / Could have / Would have + Mixed Conditionals complejos | Evaluación macro P1,Advanced Collocations Pro,Nouns Pack 4 Pro — Uncountable & Abstract,AP Pro 4,Should have · Could have · Would have | Mixed Conditionals complejos | Regret structures avanzadas | Evaluación macro P1,Sin comenzar,,,,,,
Pro — P1 Structures,Mar,,,,,,,,,,,,,
Pro — P1 Structures,Mie,,,,,,,,,,,,,
Pro — P1 Structures,Jue,,,,,,,,,,,,,
Pro — P1 Structures,Vie,,,,,,,,,,,,,
Pro — P1 Structures,Sat,,,,,,,,,,,,,
Pro — P2 Structures,Lun,Sem 1 — Reported Speech + Inversion & Cleft,Reported Speech (say/tell/ask + that/to/if · tense backshift) + Inversion & Cleft Sentences (énfasis formal),,Nouns Pack 5 Pro — Formal & Academic,Formal Register Adj.,Reported Speech: tense backshift · reporting verbs (claim/argue/admit/deny) | Inversion: Never/Rarely/Not only... | Cleft: It was X who/that | Evaluación micro-ciclo P2 Sem 1+2,Sin comenzar,,,,,,
Pro — P2 Structures,Mar,,,,,,,,,,,,,
Pro — P2 Structures,Mie,,,,,,,,,,,,,
Pro — P2 Structures,Jue,,,,,,,,,,,,,
Pro — P2 Structures,Vie,,,,,,,,,,,,,
Pro — P2 Structures,Sat,,,,,,,,,,,,,
Pro — P2 Structures,Lun,Sem 2 — Gerunds & Infinitives + Perfect Continuous,Gerunds & Infinitives (verb+ing / to+verb — sujeto · complemento · preposición) + Perfect Continuous Full (PPC + PaPC),Sayings & Proverbs,Nouns Pack 6 Pro — Collective Nouns,AP Pro 6,Gerunds: as subject · after prepositions · after verbs (enjoy/avoid/consider/keep) | Infinitives: after adj/verbs | Have been + V-ing | Had been + V-ing | Evaluación micro-ciclo P2 Sem 1+2,Sin comenzar,,,,,,
Pro — P2 Structures,Mar,,,,,,,,,,,,,
Pro — P2 Structures,Mie,,,,,,,,,,,,,
Pro — P2 Structures,Jue,,,,,,,,,,,,,
Pro — P2 Structures,Vie,,,,,,,,,,,,,
Pro — P2 Structures,Sat,,,,,,,,,,,,,
Pro — P2 Structures,Lun,Sem 3 — Sobrevivir la Entrevista de Trabajo,Semana temática integral: Surviving a Job Interview in English — aplicación total de P1+P2 en contexto laboral real (sin gramática nueva),,Nouns Pack 7 Pro — Job & Work Formal,AP Pro 7,Interview language: Tell me about yourself | Passive: I was promoted · I have been selected | RS: My manager said that… | Conditionals: If I were offered… | Hedging: I believe I could… | Mock interview completo | Evaluación macro P2 Sem 3+4,Sin comenzar,,,,,,
Pro — P2 Structures,Mar,,,,,,,,,,,,,
Pro — P2 Structures,Mie,,,,,,,,,,,,,
Pro — P2 Structures,Jue,,,,,,,,,,,,,
Pro — P2 Structures,Vie,,,,,,,,,,,,,
Pro — P2 Structures,Sat,,,,,,,,,,,,,
Pro — P2 Structures,Lun,Sem 4 — Psicología & Comportamiento Humano,Semana temática integral — sin gramática nueva; aplica todo P1+P2 en contexto real,,,,"Lecturas: clutter, atracción, burnout, olfato | Talktime y debate grupal | Grammar emerge sola",Sin comenzar,,,,,,
Pro — P2 Structures,Mar,,,,,,,,,,,,,
Pro — P2 Structures,Mie,,,,,,,,,,,,,
Pro — P2 Structures,Jue,,,,,,,,,,,,,
Pro — P2 Structures,Vie,,,,,,,,,,,,,
Pro — P2 Structures,Sat,,,,,,,,,,,,,
Pro — P Mix (Certificación),Lun,Sem 1 — Vida,Hábitos & Salud,SIN GRAMÁTICA NUEVA — Integración total,,,,"Lecturas: Morning Routines / Gym Culture | Vocab: consistency, discipline, stamina | Talktime + debate",,,,,,
Pro — P Mix (Certificación),Mar,,,,,,,,,,,,,
Pro — P Mix (Certificación),Mie,,,,,,,,,,,,,
Pro — P Mix (Certificación),Jue,,,,,,,,,,,,,
Pro — P Mix (Certificación),Vie,,,,,,,,,,,,,
Pro — P Mix (Certificación),Sat,,,,,,,,,,,,,
Pro — P Mix (Certificación),Lun,Sem 2 — Trabajo,Dinero & Decisiones,SIN GRAMÁTICA NUEVA — Integración total,,,,"Lecturas: Soft Skills / Why People Quit | Vocab: leadership, adaptability, toxic | Talktime + debate",,,,,,
Pro — P Mix (Certificación),Mar,,,,,,,,,,,,,
Pro — P Mix (Certificación),Mie,,,,,,,,,,,,,
Pro — P Mix (Certificación),Jue,,,,,,,,,,,,,
Pro — P Mix (Certificación),Vie,,,,,,,,,,,,,
Pro — P Mix (Certificación),Sat,,,,,,,,,,,,,
Pro — P Mix (Certificación),Lun,Sem 3 — Historia,Ciencia & Dilemas Éticos,SIN GRAMÁTICA NUEVA — Integración total,,,,"Lecturas: Stanislav Petrov / CRISPR Babies | Vocab: protocol, ethics, breakthrough | Debate profundo",,,,,,
Pro — P Mix (Certificación),Mar,,,,,,,,,,,,,
Pro — P Mix (Certificación),Mie,,,,,,,,,,,,,
Pro — P Mix (Certificación),Jue,,,,,,,,,,,,,
Pro — P Mix (Certificación),Vie,,,,,,,,,,,,,
Pro — P Mix (Certificación),Sat,,,,,,,,,,,,,
Pro — P Mix (Certificación),Lun,Sem 4 — What If & Debates Locos,SIN GRAMÁTICA NUEVA — Integración total,,,,"Lecturas: Zombie Apocalypse / Economía de la Soledad | Vocab: speculation, collapse, alienation | Debates creativos",,,,,,,
Pro — P Mix (Certificación),Mar,,,,,,,,,,,,,
Pro — P Mix (Certificación),Mie,,,,,,,,,,,,,
Pro — P Mix (Certificación),Jue,,,,,,,,,,,,,
Pro — P Mix (Certificación),Vie,,,,,,,,,,,,,
Pro — P Mix (Certificación),Sat,,,,,,,,,,,,,
