Módulo (Nivel),Dia de la semana,Tema Principal (Gramática / Estructura),Enfoque Práctico (Para los Tracks de Cotorreo),Columna 1,Columna 2,Columna 3,Columna 4,Estado,Propietario,Fecha de inicio,Fecha de finalización,Warm Up,Core Phase: Input,Core Phase: Output
Basic — B1 Foundation,Lun,Sem 4 — Future Going To,Future — Going to (Plans vs predictions),Verbs Pack 4 — Feelings & Reactions,Nouns Pack 4 — Emotions & Mind,Adj Pack 3 & 5,Correlative Conj. | Prep. Time,Sin comenzar,Israel Martinez,28/4/2026,,flashcards,flashcards,flashcards
Basic — B1 Foundation,Mar,Sem 4 — Future Going To,Future — Going to (Plans vs predictions),Verbs Pack 4 — Feelings & Reactions,Nouns Pack 4 — Emotions & Mind,Adj Pack 3 & 5,Correlative Conj. | Prep. Time,Sin comenzar,Israel Martinez,29/4/2026,,flashcards,flashcards,flashcards
Basic — B1 Foundation,Mie,Sem 4 — Future Going To,Future — Going to (Plans vs predictions),Verbs Pack 4 — Feelings & Reactions,Nouns Pack 4 — Emotions & Mind,Adj Pack 3 & 5,Correlative Conj. | Prep. Time,Sin comenzar,Israel Martinez,30/4/2026,,flashcards,flashcards,flashcards
Basic — B1 Foundation,Jue,Sem 4 — Future Going To,Future — Going to (Plans vs predictions),Verbs Pack 4 — Feelings & Reactions,Nouns Pack 4 — Emotions & Mind,Adj Pack 3 & 5,Correlative Conj. | Prep. Time,Sin comenzar,Israel Martinez,1/5/2026,,flashcards,flashcards,flashcards
Basic — B1 Foundation,Vie,Sem 4 — Future Going To,Future — Going to (Plans vs predictions),Verbs Pack 4 — Feelings & Reactions,Nouns Pack 4 — Emotions & Mind,Adj Pack 3 & 5,Correlative Conj. | Prep. Time,Sin comenzar,Israel Martinez,2/5/2026,,flashcards,flashcards,flashcards
Basic — B1 Foundation,Sat,Sem 4 — Future Going To,Future — Going to (Plans vs predictions),Verbs Pack 4 — Feelings & Reactions,Nouns Pack 4 — Emotions & Mind,Adj Pack 3 & 5,Correlative Conj. | Prep. Time,Sin comenzar,Israel Martinez,3/5/2026,,flashcards,flashcards,flashcards
Basic — B2 Structures,Lun,Sem 1 — Prepositions,Los 4  Enfoques prácticos que aprendieron en B1.,Verbs Pack 5 — Action & Strategy,Nouns Pack 5 — Weekend Getaway,Prep. Time & Place,Prep. Movement & Other,Sin comenzar,,28/4/2026,,anagram,anagram,anagram
Basic — B2 Structures,Mar,Sem 1 — Prepositions,Los 4  Enfoques prácticos que aprendieron en B1.,Verbs Pack 5 — Action & Strategy,Nouns Pack 5 — Weekend Getaway,Prep. Time & Place,Prep. Movement & Other,Sin comenzar,,29/4/2026,,anagram,anagram,anagram
Basic — B2 Structures,Mie,Sem 1 — Prepositions,Los 4  Enfoques prácticos que aprendieron en B1.,Verbs Pack 5 — Action & Strategy,Nouns Pack 5 — Weekend Getaway,Prep. Time & Place,Prep. Movement & Other,Sin comenzar,,30/4/2026,,anagram,anagram,anagram
Basic — B2 Structures,Jue,Sem 1 — Prepositions,Los 4  Enfoques prácticos que aprendieron en B1.,Verbs Pack 5 — Action & Strategy,Nouns Pack 5 — Weekend Getaway,Prep. Time & Place,Prep. Movement & Other,Sin comenzar,,1/5/2026,,anagram,anagram,anagram
Basic — B2 Structures,Vie,Sem 1 — Prepositions,Los 4  Enfoques prácticos que aprendieron en B1.,Verbs Pack 5 — Action & Strategy,Nouns Pack 5 — Weekend Getaway,Prep. Time & Place,Prep. Movement & Other,Sin comenzar,,2/5/2026,,anagram,anagram,anagram
Basic — B2 Structures,Sat,Sem 1 — Prepositions,Los 4  Enfoques prácticos que aprendieron en B1.,Verbs Pack 5 — Action & Strategy,Nouns Pack 5 — Weekend Getaway,Prep. Time & Place,Prep. Movement & Other,Sin comenzar,,3/5/2026,,anagram,anagram,anagram
Basic — B2 Structures,Lun,Sem 2 — Object Pronouns,Los 4  Enfoques prácticos que aprendieron en B1.,Verbs Pack 6 — Social & Relationships,Nouns Pack 6 — People & Society,Object Pronouns (me / you / him / her / it / us / them),Object Pronouns,Sin comenzar,,,,memorama,memorama,memorama
Basic — B2 Structures,Mar,Sem 2 — Object Pronouns,Los 4  Enfoques prácticos que aprendieron en B1.,Verbs Pack 6 — Social & Relationships,Nouns Pack 6 — People & Society,Object Pronouns (me / you / him / her / it / us / them),Object Pronouns,Sin comenzar,,,,memorama,memorama,memorama
Basic — B2 Structures,Mie,Sem 2 — Object Pronouns,Los 4  Enfoques prácticos que aprendieron en B1.,Verbs Pack 6 — Social & Relationships,Nouns Pack 6 — People & Society,Object Pronouns (me / you / him / her / it / us / them),Object Pronouns,Sin comenzar,,,,memorama,memorama,memorama
Basic — B2 Structures,Jue,Sem 2 — Object Pronouns,Los 4  Enfoques prácticos que aprendieron en B1.,Verbs Pack 6 — Social & Relationships,Nouns Pack 6 — People & Society,Object Pronouns (me / you / him / her / it / us / them),Object Pronouns,Sin comenzar,,,,memorama,memorama,memorama
Basic — B2 Structures,Vie,Sem 2 — Object Pronouns,Los 4  Enfoques prácticos que aprendieron en B1.,Verbs Pack 6 — Social & Relationships,Nouns Pack 6 — People & Society,Object Pronouns (me / you / him / her / it / us / them),Object Pronouns,Sin comenzar,,,,memorama,memorama,memorama
Basic — B2 Structures,Sat,Sem 2 — Object Pronouns,Los 4  Enfoques prácticos que aprendieron en B1.,Verbs Pack 6 — Social & Relationships,Nouns Pack 6 — People & Society,Object Pronouns (me / you / him / her / it / us / them),Object Pronouns,Sin comenzar,,,,memorama,memorama,memorama
Basic — B2 Structures,Lun,"Sem 3 — Quantifiers + There is/There are & ""Fillers""",Los 4  Enfoques prácticos que aprendieron en B1.,Verbs Pack 7 — Social & Science,Nouns Pack 7 — Society & Lab,"Quantifiers (Some, Any, Much, Many, A lot)","There is/There are & ""Fillers""",Sin comenzar,,,,emojispell,emojispell,emojispell
Basic — B2 Structures,Mar,"Sem 3 — Quantifiers + There is/There are & ""Fillers""",Los 4  Enfoques prácticos que aprendieron en B1.,Verbs Pack 7 — Social & Science,Nouns Pack 7 — Society & Lab,"Quantifiers (Some, Any, Much, Many, A lot)","There is/There are & ""Fillers""",Sin comenzar,,,,emojispell,emojispell,emojispell
Basic — B2 Structures,Mie,"Sem 3 — Quantifiers + There is/There are & ""Fillers""",Los 4  Enfoques prácticos que aprendieron en B1.,Verbs Pack 7 — Social & Science,Nouns Pack 7 — Society & Lab,"Quantifiers (Some, Any, Much, Many, A lot)","There is/There are & ""Fillers""",Sin comenzar,,,,emojispell,emojispell,emojispell
Basic — B2 Structures,Jue,"Sem 3 — Quantifiers + There is/There are & ""Fillers""",Los 4  Enfoques prácticos que aprendieron en B1.,Verbs Pack 7 — Social & Science,Nouns Pack 7 — Society & Lab,"Quantifiers (Some, Any, Much, Many, A lot)","There is/There are & ""Fillers""",Sin comenzar,,,,emojispell,emojispell,emojispell
Basic — B2 Structures,Vie,"Sem 3 — Quantifiers + There is/There are & ""Fillers""",Los 4  Enfoques prácticos que aprendieron en B1.,Verbs Pack 7 — Social & Science,Nouns Pack 7 — Society & Lab,"Quantifiers (Some, Any, Much, Many, A lot)","There is/There are & ""Fillers""",Sin comenzar,,,,emojispell,emojispell,emojispell
Basic — B2 Structures,Sat,"Sem 3 — Quantifiers + There is/There are & ""Fillers""",Los 4  Enfoques prácticos que aprendieron en B1.,Verbs Pack 7 — Social & Science,Nouns Pack 7 — Society & Lab,"Quantifiers (Some, Any, Much, Many, A lot)","There is/There are & ""Fillers""",Sin comenzar,,,,emojispell,emojispell,emojispell
Basic — B2 Structures,Lun,Sem 4 — Possessive Pronouns,Los 4  Enfoques prácticos que aprendieron en B1.,Verbs Pack 8 — Corporate & Economy,Nouns Pack 8 — Money & Power,Possessive Pronouns (mine / yours / his / hers / ours / theirs),Integración B2 + Possessive Pronouns,Sin comenzar,,,,wordcascade,lingomatch,talktime
Basic — B2 Structures,Mar,Sem 4 — Possessive Pronouns,Los 4  Enfoques prácticos que aprendieron en B1.,Verbs Pack 8 — Corporate & Economy,Nouns Pack 8 — Money & Power,Possessive Pronouns (mine / yours / his / hers / ours / theirs),Integración B2 + Possessive Pronouns,Sin comenzar,,,,wordcascade,lingomatch,talktime
Basic — B2 Structures,Mie,Sem 4 — Possessive Pronouns,Los 4  Enfoques prácticos que aprendieron en B1.,Verbs Pack 8 — Corporate & Economy,Nouns Pack 8 — Money & Power,Possessive Pronouns (mine / yours / his / hers / ours / theirs),Integración B2 + Possessive Pronouns,Sin comenzar,,,,wordcascade,lingomatch,talktime
Basic — B2 Structures,Jue,Sem 4 — Possessive Pronouns,Los 4  Enfoques prácticos que aprendieron en B1.,Verbs Pack 8 — Corporate & Economy,Nouns Pack 8 — Money & Power,Possessive Pronouns (mine / yours / his / hers / ours / theirs),Integración B2 + Possessive Pronouns,Sin comenzar,,,,wordcascade,lingomatch,talktime
Basic — B2 Structures,Vie,Sem 4 — Possessive Pronouns,Los 4  Enfoques prácticos que aprendieron en B1.,Verbs Pack 8 — Corporate & Economy,Nouns Pack 8 — Money & Power,Possessive Pronouns (mine / yours / his / hers / ours / theirs),Integración B2 + Possessive Pronouns,Sin comenzar,,,,wordcascade,lingomatch,talktime
Basic — B2 Structures,Sat,Sem 4 — Possessive Pronouns,Los 4  Enfoques prácticos que aprendieron en B1.,Verbs Pack 8 — Corporate & Economy,Nouns Pack 8 — Money & Power,Possessive Pronouns (mine / yours / his / hers / ours / theirs),Integración B2 + Possessive Pronouns,Sin comenzar,,,,wordcascade,lingomatch,talktime
Basic — B Mix (Consolidación),Lun,Sem 1 — Small Talk & First Impressions,SIN GRAMÁTICA NUEVA — Sobrevivir el día 1: presentarte / pedir / dar direcciones / crear conversación,Retrieval VP1 — Daily Routine & Work,Retrieval VP2 — Home & Communication,Retrieval NP1–NP2,Review activo: Modal Verbs · Prepositions · Object Pronouns · Quantifiers · Possessive Pronouns,Sin comenzar,,,,emojispell,reading,talktime
Basic — B Mix (Consolidación),Mar,Sem 1 — Small Talk & First Impressions,SIN GRAMÁTICA NUEVA — Sobrevivir el día 1: presentarte / pedir / dar direcciones / crear conversación,Retrieval VP1 — Daily Routine & Work,Retrieval VP2 — Home & Communication,Retrieval NP1–NP2,Review activo: Modal Verbs · Prepositions · Object Pronouns · Quantifiers · Possessive Pronouns,Sin comenzar,,,,anagram,lingomatch,lingomatch
Basic — B Mix (Consolidación),Mie,Sem 1 — Small Talk & First Impressions,SIN GRAMÁTICA NUEVA — Sobrevivir el día 1: presentarte / pedir / dar direcciones / crear conversación,Retrieval VP1 — Daily Routine & Work,Retrieval VP2 — Home & Communication,Retrieval NP1–NP2,Review activo: Modal Verbs · Prepositions · Object Pronouns · Quantifiers · Possessive Pronouns,Sin comenzar,,,,wordcascade,reading,citymap
Basic — B Mix (Consolidación),Jue,Sem 1 — Small Talk & First Impressions,SIN GRAMÁTICA NUEVA — Sobrevivir el día 1: presentarte / pedir / dar direcciones / crear conversación,Retrieval VP1 — Daily Routine & Work,Retrieval VP2 — Home & Communication,Retrieval NP1–NP2,Review activo: Modal Verbs · Prepositions · Object Pronouns · Quantifiers · Possessive Pronouns,Sin comenzar,,,,emojispell,listening,talktime
Basic — B Mix (Consolidación),Vie,Sem 1 — Small Talk & First Impressions,SIN GRAMÁTICA NUEVA — Sobrevivir el día 1: presentarte / pedir / dar direcciones / crear conversación,Retrieval VP1 — Daily Routine & Work,Retrieval VP2 — Home & Communication,Retrieval NP1–NP2,Review activo: Modal Verbs · Prepositions · Object Pronouns · Quantifiers · Possessive Pronouns,Sin comenzar,,,,lastword⚠️,conoceme⚠️,talktime
